mode,embedding_name,embedding_label,embedding_family,embedding_source,algorithm,k,eps,min_samples,n_neighbors,assign_labels,n_init,max_iter,metric,evaluation_metric,linkage,n_docs,affinity,gamma,silhouette,davies_bouldin,ari,dunn,metrics_eligible,n_clusters,n_clustered_docs,n_noise,noise_ratio,coverage_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_median,cluster_size_std,largest_cluster_ratio,largest_cluster_doc_ratio,tiny_cluster_count,tiny_cluster_doc_ratio,runtime_sec,selection_eligible,analysis_eligible
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17980,,,0.0133111945766647,3.4022141559012775,0.06710344116074857,0.08752973510770984,1.0,20.0,17980.0,0.0,0.0,1.0,43.0,8879.0,899.0,133.5,1931.186345229274,0.4938264738598443,0.4938264738598443,0.0,0.0,19.74356698989868,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17980,,,0.004700421877863479,3.417883820236028,0.07272225680960097,0.08752973510770984,1.0,25.0,17980.0,0.0,0.0,1.0,43.0,8280.0,719.2,133.0,1640.0851929091975,0.46051167964404893,0.46051167964404893,0.0,0.0,19.861867666244507,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,cosine,cosine,average,17980,,,0.0042687432878328645,3.158046468632954,0.041611517948024986,0.08752973510770984,1.0,10.0,17980.0,0.0,0.0,1.0,43.0,11187.0,1798.0,97.0,3573.2531676331023,0.6221913236929922,0.6221913236929922,0.0,0.0,19.305179119110107,True,True
full,tfidf_var_min_df_10,Variation: min_df_10,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,cosine,cosine,average,17980,,,-0.0008281644402343412,3.3885720311559067,0.04155912605951165,0.08752973510770984,1.0,15.0,17980.0,0.0,0.0,1.0,43.0,10969.0,1198.6666666666667,121.0,2721.861781126212,0.6100667408231368,0.6100667408231368,0.0,0.0,19.74320960044861,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.032009795388273976,3.4154304626966647,0.11305147765474197,0.22843417183375064,1.0,30.0,17980.0,0.0,0.0,1.0,79.0,4122.0,599.3333333333334,395.5,753.0926606703558,0.2292547274749722,0.2292547274749722,0.0,0.0,19.94289231300354,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.02962518625225635,3.532856983742184,0.11103601177689389,0.22843417183375064,1.0,25.0,17980.0,0.0,0.0,1.0,79.0,4450.0,719.2,451.0,892.7324795256415,0.2474972191323693,0.2474972191323693,0.0,0.0,19.778133630752563,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.028496607684258348,4.018024796361931,0.11127247714340535,0.223515862829444,1.0,15.0,17980.0,0.0,0.0,1.0,210.0,4738.0,1198.6666666666667,512.0,1361.7497893845582,0.26351501668520577,0.26351501668520577,0.0,0.0,19.303325653076172,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.027037438621463298,4.402849367963259,0.11023256064897118,0.223515862829444,1.0,10.0,17980.0,0.0,0.0,1.0,324.0,5274.0,1798.0,1384.5,1753.5045480408655,0.2933259176863181,0.2933259176863181,0.0,0.0,18.554247856140137,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17980,,,0.02691266354441163,3.7518797823256262,0.11523738382983299,0.22843417183375064,1.0,20.0,17980.0,0.0,0.0,1.0,210.0,4450.0,899.0,486.5,1115.9119588928152,0.2474972191323693,0.2474972191323693,0.0,0.0,19.488176345825195,True,True
full,tfidf_var_min_df_2,Variation: min_df_2,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17980,,,0.01785816868175047,3.2110381318958594,0.09326025737563443,0.08322859397441902,1.0,30.0,17980.0,0.0,0.0,1.0,40.0,7070.0,599.3333333333334,156.5,1294.208672853373,0.3932146829810901,0.3932146829810901,0.0,0.0,19.89868688583374,True,True
